Tournament,Team Name,Player,Scene
HH1,Womp Womp,Jeremy Watson,SF
HH1,Womp Womp,Steve Halili,SF
HH1,Womp Womp,Felix Yuan,SF
HH1,Womp Womp,Andrew Dotson,SF
HH1,Womp Womp,Josh Biedenweg,SF
HH1,SFXXX,Andi Slobodien,SF
HH1,SFXXX,Dan Shupp,SF
HH1,SFXXX,Brian Lee,SF
HH1,SFXXX,Heather Davis,SF
HH1,SFXXX,Scott Wilkewitz,SF
HH1,Day All Night,Pierre LaFortune,SF
HH1,Day All Night,Ryan Piaget,SF
HH1,Day All Night,Gino Miglio,SF
HH1,Day All Night,Crit,SF
HH1,Day All Night,Belia Portillo,CHI
HH1,Blue Bulls,Dylan Lee,PDX
HH1,Blue Bulls,Billy Faldo,KC
HH1,Blue Bulls,Miranda Steele,SF
HH1,Blue Bulls,Nick Monger,CLT
HH1,Blue Bulls,Ryan Lescoe,CLT
HH1,Big Drink Energy,Andrew Quang,CHI
HH1,Big Drink Energy,Helen Lau,CHI
HH1,Big Drink Energy,David Garzon,CHI
HH1,Big Drink Energy,Megan Stetz,CHI
HH1,Big Drink Energy,Justin Buth,CHI
HH1,Sam Is Coming,Sam Beckman,NY
HH1,Sam Is Coming,Sarah Greenwood,NY
HH1,Sam Is Coming,Brian Wong,NY
HH1,Sam Is Coming,Austin Waters,NY
HH1,Sam Is Coming,Brian Lancaster,CLT
HH1,Sad (I Promise),Cody Frederickson,PDX
HH1,Sad (I Promise),Matt Feldkamp,PDX
HH1,Sad (I Promise),Logan David,PDX
HH1,Sad (I Promise),Neal Smith,PDX
HH1,Sad (I Promise),Mat Herring,PDX
HH1,Gates Give You Wings,Tyler Moloney,PHX
HH1,Gates Give You Wings,Toni Scarlett,PHX
HH1,Gates Give You Wings,Jeff Hochgesang,PHX
HH1,Gates Give You Wings,Sam Weddle,PHX
HH1,Gates Give You Wings,Kim Grosso,PHX
HH1,Red-y and A-bull,Nathan Palmer,MPLS
HH1,Red-y and A-bull,Imandra McKenzie,PDX
HH1,Red-y and A-bull,Alyssa DeMoss,PDX
HH1,Red-y and A-bull,Drew Sandquist,NY
HH1,Red-y and A-bull,Amanda Lee,SFL
HH1,Glitch,Master Joe,SFL
HH1,Glitch,Deanna Lopez,SFL
HH1,Glitch,The Architech (JP),SFL
HH1,Glitch,Floyd,SFL
HH1,Glitch,Richard Van,SFL
HH1,Bonus Nap,Kyle Shipwash,CLT
HH1,Bonus Nap,Aaron Tran,CLT
HH1,Bonus Nap,Stephi Castillo,CLT
HH1,Bonus Nap,Travis Teta,CLT
HH1,Bonus Nap,Jose Velasco,CLT
HH1,Bread Bowl,Warren Edwards,PDX
HH1,Bread Bowl,Ara Roselani,PDX
HH1,Bread Bowl,Damish Shah,PDX
HH1,Bread Bowl,Julie King,PDX
HH1,Bread Bowl,Shea Flaherty Betin,PDX
HH1,"Look Ma, No Wings!",Andrew Daugherty,NY
HH1,"Look Ma, No Wings!",Tiana Tan,NY
HH1,"Look Ma, No Wings!",Marian Wu,NY
HH1,"Look Ma, No Wings!",Anthony Paredes,NY
HH1,"Look Ma, No Wings!",Wyatt Yeong,NY
HH1,"Berry Pickers Union, Local 69420",Rusteen Honardoost,LA
HH1,"Berry Pickers Union, Local 69420",Nicole McKeon,LA
HH1,"Berry Pickers Union, Local 69420",Matt Scheiffer,SF
HH1,"Berry Pickers Union, Local 69420",Chris Bentley,LA
HH1,"Berry Pickers Union, Local 69420",Phil Bessenecker,LA
HH1,Crashed Ice,Kasi White,MPLS
HH1,Crashed Ice,Jacob Whiteoak,MPLS
HH1,Crashed Ice,Keli Gilbertson,MPLS
HH1,Crashed Ice,Chris Baldwin,MPLS
HH1,Crashed Ice,Kayla Grothaus,MPLS
HH1,Los Angeles Borkriders,Paolo Ongkeko,LA
HH1,Los Angeles Borkriders,Mike Moss,LA
HH1,Los Angeles Borkriders,Josh Siegel,LA
HH1,Los Angeles Borkriders,Carl Kaplan,LA
HH1,Los Angeles Borkriders,Brianne Siegel,LA
HH1,The Bee's Knees,Jeany Yang,LA
HH1,The Bee's Knees,Vance Matrisciano,LA
HH1,The Bee's Knees,Duy Ha,LA
HH1,The Bee's Knees,Len Deuel,LA
HH1,The Bee's Knees,Tony Wong,LA
HH1,SEABEES,Burton Flake,PHX
HH1,SEABEES,Logan Gramley,PHX
HH1,SEABEES,Tyler Doyle,PHX
HH1,SEABEES,Jeremy R,PHX
HH1,SEABEES,Kia Zarezadeh,PHX
HH1,No Money No Honey,RJ George,LA
HH1,No Money No Honey,Stephen Fehrman,LA
HH1,No Money No Honey,Jennifer Morris,LA
HH1,No Money No Honey,Michael Cheng,LA
HH1,No Money No Honey,Peter Schmidt,LA
HH1,Las Abejas de Los Angeles,Zane Cacace,LA
HH1,Las Abejas de Los Angeles,Will M,LA
HH1,Las Abejas de Los Angeles,Stephen G,LA
HH1,Las Abejas de Los Angeles,Megan ,LA
HH1,Las Abejas de Los Angeles,Phil Bessenecker,LA
HH1,AL LALA ALLA,Craig Hardin,LA
HH1,AL LALA ALLA,Brennan ,LA
HH1,AL LALA ALLA,Ryan I,LA
HH1,AL LALA ALLA,Chris Larson,PHX
HH1,AL LALA ALLA,Francis C,LA
HH1,Natural Snail Enhancement,Alex Simchuk,PDX
HH1,Natural Snail Enhancement,Steven Do,PDX
HH1,Natural Snail Enhancement,Nathan Vorhees,PDX
HH1,Natural Snail Enhancement,Heather Gardner,PDX
HH1,Natural Snail Enhancement,Melanie Szemis,PDX
HH1,LBeeC,Trevor S,LA
HH1,LBeeC,Craig Stukey,LA
HH1,LBeeC,James S,LA
HH1,LBeeC,Ian M,LA
HH1,LBeeC,Brenna M,LA
HH1,TBD,Matt C,LA
HH1,TBD,Aaron A,LA
HH1,TBD,Marvin H,LA
HH1,TBD,Joel A,LA
HH1,TBD,Dadrian F,LA
HH1,Bigger Drink Energy,Roger L,LA
HH1,Bigger Drink Energy,Alex Valdez,MAD
HH1,Bigger Drink Energy,Kevin Malac,LA
HH1,Bigger Drink Energy,Preston M,LA
HH1,Bigger Drink Energy,DJ,LA
