tournament,bracket,team1name,team2name,team1wins,team2wins,time
BB3,KO,Too Many Gummies,Seattle BooperSonics,2,3,2018-10-21T16:44:29-0500
BB3,KO,Chomp Chomp,Queen's Revenge,3,0,2018-10-21T16:44:29-0500
BB3,KO,Purple Reign,DAD REACTS ONLY,3,1,2018-10-21T16:44:29-0500
BB3,KO,CLEAN,lil chomp,3,0,2018-10-21T16:44:29-0500
BB3,KO,Some Side Cab Scrubs,wow,3,2,2018-10-21T16:44:29-0500
BB3,KO,Avatar Boi,Beenix Rising,3,2,2018-10-21T16:44:29-0500
BB3,KO,Pigeon Rats,Higgins Boson,3,1,2018-10-21T16:44:29-0500
BB3,KO,Minnesota Mean,Rice 'n Bees,3,2,2018-10-21T16:44:29-0500
BB3,KO,Team Break,Seattle BooperSonics,3,1,2018-10-21T17:29:09-0500
BB3,KO,It Has Been,Chomp Chomp,3,0,2018-10-21T17:40:58-0500
BB3,KO,[loud barking noises],Purple Reign,3,1,2018-10-21T17:13:39-0500
BB3,KO,4+1,CLEAN,0,3,2018-10-21T17:20:14-0500
BB3,KO,Nice~Heaven,Some Side Cab Scrubs,1,3,2018-10-21T17:17:36-0500
BB3,KO,The Yung Knucks,Avatar Boi,3,0,2018-10-21T17:34:01-0500
BB3,KO,MINDFREAK,Pigeon Rats,3,1,2018-10-21T17:14:32-0500
BB3,KO,Bonus Nap,Minnesota Mean,3,1,2018-10-21T17:44:07-0500
BB3,KO,Team Break,It Has Been,3,0,2018-10-21T19:17:33-0500
BB3,KO,[loud barking noises],CLEAN,2,3,2018-10-21T17:55:20-0500
BB3,KO,Some Side Cab Scrubs,The Yung Knucks,3,0,2018-10-21T18:14:15-0500
BB3,KO,MINDFREAK,Bonus Nap,3,2,2018-10-21T18:28:17-0500
BB3,KO,Team Break,CLEAN,2,3,2018-10-21T19:46:46-0500
BB3,KO,Some Side Cab Scrubs,MINDFREAK,1,3,2018-10-21T19:15:03-0500
BB3,KO,CLEAN,MINDFREAK,3,1,2018-10-21T20:30:21-0500
BB3,KO,Minnesota Mean,Too Many Gummies,1,3,2018-10-21T18:28:17-0500
