Tournament,Team,Player,Scene
KQC3,brunch skunks,Christop Corley,CHA
KQC3,brunch skunks,Amanda Norris,CHA
KQC3,brunch skunks,Micah Wallace,CHA
KQC3,brunch skunks,Jen Wallace,CHA
KQC3,brunch skunks,Matthew Anderson,CHA
KQC3,BarBEE Dream Gate,Ammar Ahmed,CLT
KQC3,BarBEE Dream Gate,Lisa Steward,CBUS
KQC3,BarBEE Dream Gate,Kasi White,MPLS
KQC3,BarBEE Dream Gate,Sarah Stewart,MPLS
KQC3,BarBEE Dream Gate,Marina Catherine,MPLS
KQC3,Shadow Scene,Spencer Kern,CIN
KQC3,Shadow Scene,Bobby Boehl,CIN
KQC3,Shadow Scene,Nick Monger,CIN
KQC3,Shadow Scene,Victoria Bauscher,CIN
KQC3,Shadow Scene,Bethany Caspersz,CIN
KQC3,Mr. Tenders,Dylan Conrad,CLT
KQC3,Mr. Tenders,Aaron Goldberg,CHI
KQC3,Mr. Tenders,Ryan Waisner,CHI
KQC3,Mr. Tenders,Chris Cadayona,CHI
KQC3,Mr. Tenders,Cesar Bustos,CHI
KQC3,WE BEE SWARMIN’ FOR YA,Sebastian Clavero,SFL
KQC3,WE BEE SWARMIN’ FOR YA,Heather Browning,SFL
KQC3,WE BEE SWARMIN’ FOR YA,Ryan Lescoe,CLT
KQC3,WE BEE SWARMIN’ FOR YA,Tyler Cole,CLT
KQC3,WE BEE SWARMIN’ FOR YA,Megan Hirschy,CLT
KQC3,Vertical Scroll,JD Look,CHI
KQC3,Vertical Scroll,Justin Buth,CHI
KQC3,Vertical Scroll,Gabriel Gray,CLT
KQC3,Vertical Scroll,Joel Stockard,KC
KQC3,Vertical Scroll,Enrique Garcia,CLT
KQC3,Only Kinda Safe,Mitch Diemert,CBUS
KQC3,Only Kinda Safe,Joe Woolum,CBUS
KQC3,Only Kinda Safe,Courtney Hickey,CBUS
KQC3,Only Kinda Safe,Christian Dummermuth,CBUS
KQC3,Only Kinda Safe,Zac Robinson,CBUS
KQC3,Keep Yourself Alive,Andrew Wilkening,NY
KQC3,Keep Yourself Alive,Brian Wong,NY
KQC3,Keep Yourself Alive,Prashant Sridhar,NY
KQC3,Keep Yourself Alive,Justin Krim,NY
KQC3,Keep Yourself Alive,Charles Pratt,NY
KQC3,Bye,Eric Clarkson,BMORE
KQC3,Bye,Melanie Szemis,PDX
KQC3,Bye,Steve Parker,DC
KQC3,Bye,Chris Preisinger,BMORE
KQC3,Bye,Adam Forejt,BMORE
KQC3,Anti Social Snail Club,Brian McMahon,SF
KQC3,Anti Social Snail Club,Miranda Steele,SF
KQC3,Anti Social Snail Club,DRay Williams,SF
KQC3,Anti Social Snail Club,Andrew Dotson,SF
KQC3,Anti Social Snail Club,Gino Miglio,SF
KQC3,Dingle Berries,William Definbaugh,DC
KQC3,Dingle Berries,David Tien,BMORE
KQC3,Dingle Berries,Dominic Pham,BMORE
KQC3,Dingle Berries,Michael Ohr,DC
KQC3,Dingle Berries,Megan Richards,BMORE
