Tournament,Team Name,Player,Scene
CC1,Pork and Bees,Ash Ramirez,SF
CC1,Pork and Bees,Xander Peterson,SF
CC1,Pork and Bees,Nathan Palmer,MPLS
CC1,Pork and Bees,Scott Wilkewitz,SF
CC1,Pork and Bees,Sam Aldach,SF
CC1,Sedona My Face,Andrew Kelley,NYC
CC1,Sedona My Face,Aaron Goldberg,CHI
CC1,Sedona My Face,Billy Faldo,KC
CC1,Sedona My Face,Sam Weddle,PHX
CC1,Sedona My Face,Neal Smith,PDX
CC1,BYE FELIXIA,Andi Slobodien,SDF
CC1,BYE FELIXIA,Alex Simchuk,PDX
CC1,BYE FELIXIA,Paul Hillman,PDX
CC1,BYE FELIXIA,Tony Hauber,ELK
CC1,BYE FELIXIA,Felix Yuan,SF
CC1,Show Me Your Boops,David Walsh,SEA
CC1,Show Me Your Boops,Nate Sloat,SEA
CC1,Show Me Your Boops,Taylor Robbins,SEA
CC1,Show Me Your Boops,Gabriel Sosa,SEA
CC1,Show Me Your Boops,Tressa Points,SEA
CC1,Beelandia,Ara Roselani,PDX
CC1,Beelandia,Steven Do,PDX
CC1,Beelandia,Nathan Vorhees,PDX
CC1,Beelandia,Logan Barnett,PDX
CC1,Beelandia,Bean Bandit,PDX
CC1,Cowbois Beesbop,Jeff Hochgesang,PHX
CC1,Cowbois Beesbop,Kim Grosso,PHX
CC1,Cowbois Beesbop,Chad Troxel,PHX
CC1,Cowbois Beesbop,Toni Scarlett,PHX
CC1,Cowbois Beesbop,Jeremy Singletary,PHX
CC1,Dank MayMays,Tyler Moloney,PHX
CC1,Dank MayMays,Kia Zarezadeh,PHX
CC1,Dank MayMays,Maynard Malic,PHX
CC1,Dank MayMays,Jason Bither,PHX
CC1,Dank MayMays,Hector Gutierrez,PHX
CC1,Punxsutawney Trill,Brian Lee,SF
CC1,Punxsutawney Trill,Mike Dunn,SF
CC1,Punxsutawney Trill,Conner Silverstein,SF
CC1,Punxsutawney Trill,Reed Silverstein,SF
CC1,Punxsutawney Trill,Cindy Leung,SF
CC1,Fons Pszczoly,Ryan Palach,MPLS
CC1,Fons Pszczoly,Karl Nann,MPLS
CC1,Fons Pszczoly,J Sisk,MPLS
CC1,Fons Pszczoly,Matt Woelfel,MPLS
