Tourament,Team,Player,Scene
Coro17f,Dream Eater,Andrew Quang,CHI
Coro17f,Dream Eater,Brian Wong,NY
Coro17f,Dream Eater,Chris Wallace,NY
Coro17f,Dream Eater,Wyatt Yeong,NY
Coro17f,Dream Eater,Dan Miller,MPLS
Coro17f,Full Metal Yellow Jacket,John Koutroulakis,CLT
Coro17f,Full Metal Yellow Jacket,Aaron Tran,CLT
Coro17f,Full Metal Yellow Jacket,Andrew Kelley,NY
Coro17f,Full Metal Yellow Jacket,Alee Gillis,NY
Coro17f,Full Metal Yellow Jacket,Alexis Murphy,NY
Coro17f,The Queen Cities,Kyle Shipwash,CLT
Coro17f,The Queen Cities,Nicole De Vall,CLT
Coro17f,The Queen Cities,Ryan McKusick,CLT
Coro17f,The Queen Cities,Emily Gamble,CLT
Coro17f,The Queen Cities,Nick Monger,CIN
Coro17f,Team Break,Brian Kang,NY
Coro17f,Team Break,Andrew Wilkening,NY
Coro17f,Team Break,Randy Diaz,NY
Coro17f,Team Break,Rob Neuhaus,NY
Coro17f,Team Break,Mike Dooley,NY
Coro17f,Constingliere,Stephen Novenstern,NY
Coro17f,Constingliere,Zane Cacace,NY
Coro17f,Constingliere,Charlie Pfaff,NY
Coro17f,Constingliere,Justin Krim,NY
Coro17f,Constingliere,Tony Lieuallen,NY
Coro17f,The Honeymooners,Jacob LaMarre,CLT
Coro17f,The Honeymooners,Courtney LaSchultz,CLT
Coro17f,The Honeymooners,Jeremy Feltman,CLT
Coro17f,The Honeymooners,Yennhi Vo,CLT
Coro17f,The Honeymooners,Jose Velasco,CLT
Coro17f,Flying Solo,Damish Shah,NY
Coro17f,Flying Solo,Alex Jaspersen,SF
Coro17f,Flying Solo,Chris Baldwin,MPLS
Coro17f,Flying Solo,Miranda Aguilar,PDX
Coro17f,Flying Solo,Rishi Khullar,CHI
Coro17f,Sam'd It!,Sam Beckman,NY
Coro17f,Sam'd It!,Jason Mann,NY
Coro17f,Sam'd It!,Andres Uribe,NY
Coro17f,Sam'd It!,Prashant Sridhar,NY
Coro17f,Sam'd It!,Austin Waters,NY
Coro17f,Nothing Set in Stone,Joe Woolum,CBUS
Coro17f,Nothing Set in Stone,Mitch Diemert,CBUS
